class_id,seed,group,event_stage,probe_stage,family,alpha,relative_derivative_drift,direction_cosine,odd_curvature,component_robust_error,richardson_diagnostic_disagreement,legacy_L_pass,C_pass,D_source_ratio_within_reference,application_certified,R_pass,N_pass
123,107,attention_output_all_blocks,10,11,isotropic,0.03125,0.004065019510927836,0.9999917378868054,0.0032376142506275437,0.002728328112843451,0.010635198643838755,True,True,True,False,True,True
123,107,attention_output_all_blocks,15,16,actual_local,0.0078125,0.004255107443558604,0.9999910094332904,0.006452361183599077,0.0024765743351202753,0.005932209879443368,True,True,True,False,True,True
123,107,attention_output_all_blocks,15,16,actual_local,0.015625,0.0,0.9999999999999999,0.0037199410323774003,0.0,0.005932209879443368,True,True,True,False,True,True
123,107,attention_output_all_blocks,15,16,actual_local,0.03125,0.0019720630277487525,0.9999980775082399,0.004420474894527429,0.0012382871675601377,0.005932209879443368,True,True,True,False,True,True
123,107,attention_output_all_blocks,15,16,accumulated,0.0078125,0.010743497824143211,0.9999423362932925,0.016058404172075373,0.006616340633988495,0.015140429014528521,True,True,True,False,True,True
123,107,attention_output_all_blocks,15,16,accumulated,0.015625,0.0,0.9999999999999999,0.008035613483007712,0.0,0.015140429014528521,True,True,True,False,True,True
123,107,attention_output_all_blocks,15,16,accumulated,0.03125,0.0052889430098131945,0.9999860218745033,0.004163108092150081,0.0033081703169942473,0.015140429014528521,True,True,True,False,True,True
123,107,attention_output_all_blocks,15,16,donor,0.0078125,0.004956034476462528,0.999987720368615,0.0073251767929128,0.002972678399763836,0.00698582985601557,True,True,True,False,True,True
123,107,attention_output_all_blocks,15,16,donor,0.015625,0.0,1.0,0.0038182379118892945,0.0,0.00698582985601557,True,True,True,False,True,True
123,107,attention_output_all_blocks,15,16,donor,0.03125,0.0024663910318937997,0.999996965048877,0.001980676757609335,0.001486339199881918,0.00698582985601557,True,True,True,False,True,True
123,107,attention_output_all_blocks,15,16,isotropic,0.0078125,0.004361815295317405,0.9999904884474158,0.006750564591244043,0.0028132786257418396,0.006161753325242128,True,True,True,False,True,True
123,107,attention_output_all_blocks,15,16,isotropic,0.015625,0.0,1.0,0.0033644591945347947,0.0,0.006161753325242128,True,True,True,False,True,True
123,107,attention_output_all_blocks,15,16,isotropic,0.03125,0.002338796749992999,0.9999972655769946,0.0017807328663767073,0.0014066393128709198,0.006161753325242128,True,True,True,False,True,True
123,107,mlp_down_all_blocks,4,5,actual_local,0.0078125,0.0001133984542671566,0.9999999935707731,0.0001763575810961708,6.826865064352588e-05,0.00015861578552573717,True,True,True,False,True,True
123,107,mlp_down_all_blocks,4,5,actual_local,0.015625,0.0,1.0,0.00017034134008678974,0.0,0.00015861578552573717,True,True,True,False,True,True
123,107,mlp_down_all_blocks,4,5,actual_local,0.03125,5.996254191615054e-05,0.9999999982043805,0.0002967003568587193,3.9010657510586214e-05,0.00015861578552573717,True,True,True,False,True,True
123,107,mlp_down_all_blocks,4,5,accumulated,0.0078125,0.0001133984542671566,0.9999999935707731,0.0001763575810961708,6.826865064352588e-05,0.00015861578552573717,True,True,True,False,True,True
123,107,mlp_down_all_blocks,4,5,accumulated,0.015625,0.0,1.0,0.00017034134008678974,0.0,0.00015861578552573717,True,True,True,False,True,True
123,107,mlp_down_all_blocks,4,5,accumulated,0.03125,5.996254191615054e-05,0.9999999982043805,0.0002967003568587193,3.9010657510586214e-05,0.00015861578552573717,True,True,True,False,True,True
123,107,mlp_down_all_blocks,4,5,donor,0.0078125,0.00010375814100112476,0.9999999946176504,0.0001539095568086145,6.22639235259975e-05,0.0001451350133199223,True,True,True,False,True,True
